None,coid,mdate,key3,district_id,district,tsign,tsign_fg,location,road_fg,coord_x,coord_y,land,build,berth,land_area,zoning,zoning_fg,ncity_z,ncity_z_fg,land_use,land_use_fg,rent_floor,rent_up_ll,rent_single,tot_floor,top_floor,bstate,bstate_fg,mainuse,mainuse_fg,matl,matl_fg,build_dd,room_age,build_area,room,hall,health,compart,mgt_com,furn,berth_tp,berth_tp_fg,berth_area,tot_prc,unit_prc,berth_prc,rmk,ann_date,abnorm_td,abnorm_loc,abnorm_prc
14,B,2020-01-10 00:00:00+00:00,RPPOMLKLJHPFFAB37CC,東區,401,土地,A,旱平段91~120地號,,24.142029,120.707118,1,0,0,202.19,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,1,0,0,Y,N,,,,0.0,14.5,0.1,0.0,有民情風俗因素之交易。;,2020-03-04 00:00:00+00:00,,,
15,B,2020-02-02 00:00:00+00:00,RPTNMLOJKHPFFHB68CC,大雅區,428,土地,A,秀雅段421~450地號,,24.236547,120.624961,1,0,0,19.43,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,0.9,0.0,0.0,"有民情風俗因素之交易。;未登記建物為平房,格局2房1廳1衛",2020-03-21 00:00:00+00:00,,,
16,B,2020-02-14 00:00:00+00:00,RPSNMLTKKHPFFHB56CC,大雅區,428,土地,A,六寶段1021~1050地號,,24.240255,120.632204,1,0,0,45.38,,,鄉村區,13,水利用地,12,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,4.3,0.1,0.0,"含未登記建物,透天店面109年02月15日起至109年02月29日止為免收房租裝修期109年03月01日起至109年03月31日止,房租新台幣21500元",2020-04-01 00:00:00+00:00,,,
17,B,2020-02-18 00:00:00+00:00,RPRUMLRLKHPFFCB56CC,西屯區,407,土地,A,協成段421~450地號,,24.162657,120.617338,1,0,0,484.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,15.0,0.0,0.0,有民情風俗因素之交易。;含增建或未登記建物。此案件包含土地上未登記之建物面積約400坪租金合計為15萬元。,2020-04-11 00:00:00+00:00,,,
18,B,2020-02-21 00:00:00+00:00,RPUNMLLLKHPFFHB68CC,大雅區,428,土地,A,三和段1441~1470地號,,,,1,0,0,199.65,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,5.9,0.0,0.0,"含未登記建物廠房,109/02/21~109/03/31為整修免租期",2020-04-11 00:00:00+00:00,,,
19,B,2020-02-27 00:00:00+00:00,RPOOMLNJLHPFFDB97DC,豐原區,420,土地,A,龍宮段841~870地號,,24.262186,120.719133,1,0,0,12.2,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.2,0.1,0.0,地上有未辦保存登記建物壹棟,2020-04-22 00:00:00+00:00,,,
20,B,2020-02-29 00:00:00+00:00,RPROMLNJLHPFFCB08CC,南屯區,408,土地,A,永春段61~90地號,,24.141342,120.631417,3,0,0,255.73,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,9.0,0.0,0.0,"自民國1090301起至民國1240228共計15年雙方同意自立約日起至民國1090831止供乙方興建地上物,不收去租金,自民國1090901起至民國1100228租金減半即為新台幣45000元整,自民國1100301起不論地上物是否興建完成,承租方應",2020-04-22 00:00:00+00:00,,,
21,B,2020-03-01 00:00:00+00:00,RPOOMLRJMHPFFIB88CC,烏日區,414,土地,A,榮和段91~120地號,,24.109987,120.603175,2,0,0,53.64,其他,99,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.0,0.0,0.0,,2020-05-28 00:00:00+00:00,,,
22,B,2020-03-02 00:00:00+00:00,RPTNMLKLLHPFFCB08CC,西屯區,407,土地,A,福星段181~210地號,,24.183222,120.643505,1,0,0,349.27,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,24.5,0.1,0.0,售價包含裝潢或家電。;,2020-05-01 00:00:00+00:00,,,
23,B,2020-03-05 00:00:00+00:00,RPPOMLRKLHPFFFB68CC,梧棲區,435,土地,A,民權段1441~1470地號,,24.240041,120.528969,2,0,13,2328.65,其他,99,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,一樓平面,A,73.21,65.0,0.0,0.0,建物興建中，簽訂租賃契約時房屋尚未取得使用執照。建物為地上1層，總樓地板面積3291.94平方公尺。法定室外平面小型車位11個，總面積158.5平方公尺；法定室外裝卸車位2個，總面積83.5平方公尺。詳細內容請參考建照執,2020-05-01 00:00:00+00:00,,,
24,B,2020-03-17 00:00:00+00:00,RPPOMLPLLHPFFCB28CC,南屯區,408,土地,A,永新段121~150地號,,24.144578,120.632627,1,0,0,149.28,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.7,0.0,0.0,貳、1.租賃期間自西元下同2020年4月1日起至2022年3月31日止，計2年整。2.甲方同意於2020年3月17日起至2020年3月31日止共計15天為乙方整地期，甲方不收取租金。參、1.租期自2020年4月1日起至2020年3月31日止，每月租,2020-05-13 00:00:00+00:00,,,
25,B,2020-03-19 00:00:00+00:00,RPXNMLLJMHPFFHB98CC,大雅區,428,土地,A,馬岡段61~90地號,,24.216199,120.666673,1,0,0,50.22,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.0,0.1,0.0,有民情風俗因素之交易。;此廠房出租人有兩位所有權人，租賃契約擬定兩份，租金分別為一萬五千元，共計三萬元。,2020-05-28 00:00:00+00:00,,,
26,B,2020-03-30 00:00:00+00:00,RPWNMLQJMHPFFDB98CC,豐原區,420,土地,A,建成段421~450地號,,24.250155,120.706232,1,0,0,41.45,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.0,0.0,0.0,有民情風俗因素之交易。;,2020-05-28 00:00:00+00:00,,,
27,B,2020-04-09 00:00:00+00:00,RPRNMLMLMHPFFKB98CC,大肚區,432,土地,A,追分段541~570地號,,24.116104,120.566126,1,0,0,80.16,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.9,0.0,0.0,有民情風俗因素之交易。;含未保存登記之建物,2020-06-11 00:00:00+00:00,,,
28,B,2020-04-15 00:00:00+00:00,RPPOMLKMMHPFFCB97CC,南屯區,408,土地,A,新富段301~330地號,,24.141125,120.623679,1,0,0,153.18,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,8.7,0.1,0.0,,2020-06-11 00:00:00+00:00,,,
29,B,2020-04-15 00:00:00+00:00,RPRNMLOKNHPFFIB09DC,烏日區,414,土地,A,高鐵段361~390地號,,24.108068,120.609295,1,0,0,99.83,其他,99,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,4.0,0.0,0.0,有民情風俗因素之交易。;上有鐵皮廠房,2020-07-01 00:00:00+00:00,,,
30,B,2020-04-20 00:00:00+00:00,RPSOMLKMMHPFFBB18CC,北區,404,土地,A,乾溝子段151~180地號,,24.156322,120.669237,1,0,0,33.88,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.3,0.0,0.0,,2020-06-11 00:00:00+00:00,,,
31,B,2020-04-29 00:00:00+00:00,RPSNMLSLNHPFFHB86CC,潭子區,427,土地,A,大豐段271~300地號,,24.224226,120.69362,1,0,0,15.35,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.6,0.2,0.0,有民情風俗因素之交易。;,2020-07-11 00:00:00+00:00,,,
32,B,2020-05-07 00:00:00+00:00,RPRRMLRLNHPFFBB56DC,北屯區,406,土地,A,景美段91~120地號,,24.180285,120.715963,1,0,0,376.27,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,9.0,0.0,0.0,,2020-07-11 00:00:00+00:00,,,
33,B,2020-05-09 00:00:00+00:00,RPTOMLLJOHPFFIB98CC,大里區,412,土地,A,仁美段151~180地號,,24.096002,120.708724,1,0,0,756.25,,,特定農業區,11,農牧用地,05,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,20.0,0.0,0.0,有民情風俗因素之交易。;,2020-07-22 00:00:00+00:00,,,
34,B,2020-05-16 00:00:00+00:00,RPPOMLPKOHPFFBB38CC,北屯區,406,土地,A,南興段1~30地號,,24.181932,120.710299,1,0,0,200.0,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,8.1,0.0,0.0,,2020-08-01 00:00:00+00:00,,,
35,B,2020-05-18 00:00:00+00:00,RPOPMLTKNHPFFCB78CC,南屯區,408,土地,A,永新段61~90地號,,24.146347,120.630113,1,0,0,199.5,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,11.4,0.1,0.0,民國109年06月01日至109年11月30日為建設期間六個月，免收租金。自民國109年12月01日起至112年12月01日，每月租金新台幣113520元整。自民國112年12月02日起至民國115年12月01日，每月租金調漲新台幣壹萬元整。自民國,2020-07-01 00:00:00+00:00,,,
36,B,2020-05-20 00:00:00+00:00,RPROMLNJOHPFFBB28CC,北屯區,406,土地,A,碧柳段271~300地號,,24.182538,120.70621,2,0,0,678.55,商業區,02,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,20.0,0.0,0.0,,2020-07-22 00:00:00+00:00,,,
37,B,2020-05-22 00:00:00+00:00,RPSNMLQLNHPFFDB88CC,豐原區,420,土地,A,豐原段61~90地號,,,,1,0,0,22.69,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.8,0.1,0.0,建物沒有保存登記,2020-07-11 00:00:00+00:00,,,
38,B,2020-05-28 00:00:00+00:00,RPSNMLPKOHPFFFB98CC,清水區,436,土地,A,武秀段91~120地號,,24.278157,120.562599,1,0,0,60.5,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.2,0.0,0.0,有民情風俗因素之交易。;,2020-08-01 00:00:00+00:00,,,
39,B,2020-05-29 00:00:00+00:00,RPVOMLLJOHPFFDB68CC,豐原區,420,土地,A,南陽段331~360地號,,24.244127,120.728848,1,0,0,24.87,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,0.4,0.0,0.0,僅供停車之用,2020-07-22 00:00:00+00:00,,,
40,B,2020-06-06 00:00:00+00:00,RPQNMLSJOHPFFIB66CC,大里區,412,土地,A,新甲段61~90地號,,24.10407,120.69768,1,0,0,120.46,商業區,02,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.3,0.0,0.0,,2020-07-22 00:00:00+00:00,,,
41,B,2020-06-11 00:00:00+00:00,RPRQMLMKOHPFFCB58CC,西屯區,407,土地,A,信安段61~90地號,,24.184923,120.62576,2,0,0,112.34,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.8,0.0,0.0,,2020-08-01 00:00:00+00:00,,,
42,B,2020-06-11 00:00:00+00:00,RPUNMLQKOHPFFFB66CC,清水區,436,土地,A,市鎮北段331~360地號,,24.270463,120.535433,1,0,0,130.56,商業區,02,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,7.5,0.1,0.0,鐵皮屋結構物，座落於上述地號之鐵皮屋結構體由甲方負責搭建，包外面寬需約為11.8公尺、高度6公尺以上、深度約25公尺、地基厚度PC12公分，整體一樓地板至少需有89台坪。,2020-08-01 00:00:00+00:00,,,
43,B,2020-06-24 00:00:00+00:00,RPUWMLQJPHPFFCB27CC,南屯區,408,土地,A,永富段361~390地號,,24.149136,120.625608,4,0,0,99.37,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,4.5,0.0,0.0,,2020-09-04 00:00:00+00:00,,,
44,B,2020-07-14 00:00:00+00:00,RPOOMLRKPHPFFHB56CC,潭子區,427,土地,A,東寶五段421~450地號,,24.205594,120.679835,1,0,0,260.0,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,9.3,0.0,0.0,含增建或未登記建物。;地上有廠房,2020-09-04 00:00:00+00:00,,,
45,B,2020-07-20 00:00:00+00:00,RPVPMLKKQHPFFIB86CC,烏日區,414,土地,A,自治段331~360地號,,24.105879,120.626102,1,0,0,44.86,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.0,0.0,0.0,土地上有未保存登記建物作店面使用。110/8/1至111/7/31租金調整為25000元。,2020-09-22 00:00:00+00:00,,,
46,B,2020-07-27 00:00:00+00:00,RPQPMLNKQHPFFCB68CC,西屯區,407,土地,A,福星段451~480地號,,24.184305,120.639538,1,0,0,145.91,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,9.5,0.1,0.0,,2020-09-04 00:00:00+00:00,,,
47,B,2020-07-27 00:00:00+00:00,RPTQMLKMPHPFFCB88CC,南屯區,408,土地,A,豐富段421~450地號,,24.130427,120.649415,1,0,0,90.31,商業區,02,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.5,0.0,0.0,"租賃期限自民國1090801至1110731止,租金每月新台幣25000元整,並約定乙方承租土地僅作停放二至三部醫療檢驗車使用。押金為5萬元整",2020-09-11 00:00:00+00:00,,,
48,B,2020-08-03 00:00:00+00:00,RPROMLKKQHPFFBB38DC,北屯區,406,土地,A,昌平段91~120地號,,24.193003,120.685681,3,0,0,186.42,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,1,0,0,Y,N,,,,0.0,28.0,0.2,0.0,含增建或未登記建物。;,2020-09-22 00:00:00+00:00,,,
49,B,2020-08-05 00:00:00+00:00,RPQOMLRJQHPFFIB86CC,大里區,412,土地,A,東城段1141~1170地號,,24.089143,120.70002,6,0,0,403.94,工業區,03,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,14.0,0.0,0.0,,2020-09-22 00:00:00+00:00,,,
50,B,2020-08-19 00:00:00+00:00,RPPOMLOLQHPFFFB98CC,梧棲區,435,土地,A,梧棲段2911~2940地號,,24.262353,120.533564,1,0,0,18.15,商業區,02,,,,,,0,N,0,N,其他,99,,,,,,,0.0,6,0,0,Y,N,,,,0.0,1.3,0.1,0.0,含增建或未登記建物。總面積230.76平方公尺。,2020-10-12 00:00:00+00:00,,,
51,B,2020-08-25 00:00:00+00:00,RPPOMLQLQHPFFFB56CC,梧棲區,435,土地,A,永安段151~180地號,,24.226979,120.520947,4,0,0,289.8,工業區,03,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,Y,,,,0.0,7.4,0.0,0.0,含增建或未登記建物。;,2020-10-12 00:00:00+00:00,,,
52,B,2020-08-26 00:00:00+00:00,RPWNMLLMQHPFFBB98CC,北區,404,土地,A,賴厝部段121~150地號,,24.155711,120.671592,1,0,0,44.17,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,4.2,0.1,0.0,含增建或未登記建物。;,2020-10-12 00:00:00+00:00,,,
53,B,2020-09-01 00:00:00+00:00,RPOOMLKMRHPFFBB28CC,北屯區,406,土地,A,昌平段151~180地號,,24.189199,120.689905,1,0,0,160.33,其他,99,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,9.0,0.1,0.0,含增建或未登記建物。;,2020-11-11 00:00:00+00:00,,,
54,B,2020-09-01 00:00:00+00:00,RPWNMLSKRHPFFDB27DC,豐原區,420,土地,A,鳳山段151~180地號,,24.231171,120.728843,1,0,0,280.0,,,特定農業區,11,農牧用地,05,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,7.0,0.0,0.0,含增建或未登記建物。;承租部分僅3樓未登記建物,2020-11-03 00:00:00+00:00,,,
55,B,2020-09-09 00:00:00+00:00,RPVNMLPKRHPFFIB27CC,烏日區,414,土地,A,螺潭段1051~1080地號,,24.060239,120.638967,2,0,0,314.6,,,特定農業區,11,農牧用地,05,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,10.0,0.0,0.0,含增建或未登記建物。;面積約為650坪。租金：第一年：10萬， 第二至五年：16萬，第六至十年：17萬,2020-11-03 00:00:00+00:00,,,
56,B,2020-09-12 00:00:00+00:00,RPRNMLQKRHPFFKB17CC,龍井區,434,土地,A,新東段1081~1110地號,,24.179377,120.58317,1,0,0,8.6,,,一般農業區,12,農牧用地,05,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.8,0.2,0.0,含增建或未登記建物。總面積約162.08平方公尺。,2020-11-03 00:00:00+00:00,,,
57,B,2020-09-13 00:00:00+00:00,RPPRMLOLRHPFFBB98CC,北屯區,406,土地,A,碧柳段151~180地號,,24.185231,120.704667,1,0,0,680.82,商業區,02,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,30.0,0.0,0.0,,2020-11-11 00:00:00+00:00,,,
58,B,2020-09-13 00:00:00+00:00,RPSNMLNKIIPFFCB97CC,西屯區,407,土地,A,廣福段181~210地號,,24.203487,120.646941,1,0,0,160.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,4.0,0.0,0.0,含增建或未登記建物。;,2020-12-01 00:00:00+00:00,,,
59,B,2020-09-14 00:00:00+00:00,RPPOMLPJIIPFFDB97CC,豐原區,420,土地,A,北陽段901~930地號,,24.245888,120.727357,1,0,0,0.0,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,Y,,,,0.0,0.7,0.0,0.0,頂樓加建出租套房乙間約10坪,2020-11-21 00:00:00+00:00,,,Y
60,B,2020-09-15 00:00:00+00:00,RPSPMLOLRHPFFAB98CC,西區,403,土地,A,後壟子段181~210地號,,24.150064,120.669046,6,0,0,45.07,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,4.5,0.1,0.0,,2020-11-11 00:00:00+00:00,,,
61,B,2020-09-15 00:00:00+00:00,RPXOMLSLRHPFFDB47CC,神岡區,429,土地,A,三角東段1771~1800地號,,24.232004,120.691987,2,0,0,651.77,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,9.0,0.0,0.0,,2020-11-11 00:00:00+00:00,,,
62,B,2020-09-16 00:00:00+00:00,RPROMLQJIIPFFDB38DC,豐原區,420,土地,A,豐原段871~900地號,,24.246243,120.71238,2,0,0,63.83,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,4.7,0.1,0.0,含增建或未登記建物。;,2020-11-21 00:00:00+00:00,,,
63,B,2020-09-18 00:00:00+00:00,RPTNMLQJIIPFFDB48DC,豐原區,420,土地,A,豐原段271~300地號,,24.246581,120.716393,1,0,0,31.46,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.5,0.0,0.0,急出租急承租。;本土地上有一棟未保存登記之建物平房，現況出租,2020-11-21 00:00:00+00:00,,,
64,B,2020-10-05 00:00:00+00:00,RPTNMLPKIIPFFHB78CC,大雅區,428,土地,A,自立段1921~1950地號,,24.208724,120.637473,1,0,0,295.98,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.0,0.0,0.0,,2020-12-01 00:00:00+00:00,,,
65,B,2020-10-08 00:00:00+00:00,RPWNMLOKIIPFFDB58CC,豐原區,420,土地,A,順豐段751~780地號,,24.27172,120.745293,1,0,0,270.15,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.5,0.0,0.0,含增建或未登記建物。;,2020-12-01 00:00:00+00:00,,,
66,B,2020-10-12 00:00:00+00:00,RPPSMLLLIIPFFBB97CC,北屯區,406,土地,A,東山段61~90地號,,24.170811,120.694489,1,0,0,28.44,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,4,0,0,Y,N,,,,0.0,3.0,0.1,0.0,含增建或未登記建物。;,2020-12-11 00:00:00+00:00,,,
67,B,2020-10-14 00:00:00+00:00,RPXNMLPKIIPFFHB56CC,大雅區,428,土地,A,上楓段1141~1170地號,,24.236849,120.670215,1,0,0,40.0,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.0,0.0,0.0,地上有廠房,2020-12-01 00:00:00+00:00,,,
68,B,2020-10-20 00:00:00+00:00,只承租面對鐵棟左邊約,豐原區,420,土地,A,龍宮段721~750地號,,24.262489,120.719158,1,0,0,75.63,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.7,0.0,0.0,地上有未辦保存登記鐵棟乙棟,2020-12-11 00:00:00+00:00,,,
69,B,2020-10-23 00:00:00+00:00,RPVSOLQKJIPFFBB66CC,北屯區,406,土地,A,景美段241~270地號,,24.178065,120.716804,1,0,0,122.07,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.5,0.0,0.0,第1-5年租金為25000元，第6-7年租金為26000元，第8年租金為27000元。,2021-01-05 00:00:00+00:00,,,
70,B,2020-10-26 00:00:00+00:00,RPTQMLMJJIPFFAB18DC,東區,401,土地,A,復興段五小段1~30地號,,24.137138,120.68701,1,0,0,18.45,商業區,02,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.8,0.1,0.0,有民情風俗因素之租賃。;109年12月01日起至112年11月止每月租金18000元，112年12月01日起至115年11月30日止每月租金23000元,2020-12-21 00:00:00+00:00,,,
